,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1725,FMGJ,SMEBoard,0000-00-00,XSHE,L72,商务服务业,2008-01-30,002210.XSHE,100.0,Industrials,工业,Normal,Active,飞马国际,CS
1726,BCKJ,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2016-10-12,300548.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,博创科技,CS
1727,YQFW,MainBoard,0000-00-00,XSHG,C36,汽车制造业,1996-08-26,600742.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,一汽富维,CS
1728,XYF,MainBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,1999-04-08,000902.XSHE,100.0,Materials,原材料,Normal,Active,新洋丰,CS
1729,JXKJ,MainBoard,0000-00-00,XSHG,C35,专用设备制造业,2011-05-06,601218.XSHG,100.0,Industrials,工业,Normal,Active,吉鑫科技,CS
1730,YWLN,GEM,0000-00-00,XSHE,C38,电气机械和器材制造业,2009-10-30,300014.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,亿纬锂能,CS
1731,XRKJ,GEM,0000-00-00,XSHE,C36,汽车制造业,2018-05-23,300745.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,欣锐科技,CS
1732,*STGX,MainBoard,0000-00-00,XSHG,I65,软件和信息技术服务业,1996-05-28,600701.XSHG,100.0,Industrials,工业,StarST,Active,*ST工新,CS
1733,WLGF,MainBoard,0000-00-00,XSHG,L72,商务服务业,2015-06-29,603117.XSHG,100.0,Industrials,工业,Normal,Active,万林股份,CS
1734,TSBY,MainBoard,2016-05-13,XSHG,F52,零售业,1990-12-19,600656.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Other,Delisted,退市博元,CS
1735,LMXX,GEM,0000-00-00,XSHE,I63,电信、广播电视和卫星传输服务,2012-02-16,300288.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,朗玛信息,CS
1736,HDDN,MainBoard,0000-00-00,XSHG,I65,软件和信息技术服务业,1994-03-24,600850.XSHG,100.0,InformationTechnology,信息技术,Normal,Active,华东电脑,CS
1737,LYD,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2012-03-15,300296.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,利亚德,CS
1738,CCDM,MainBoard,0000-00-00,XSHE,I64,互联网和相关服务,1999-06-25,000835.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,长城动漫,CS
1739,SHYH,MainBoard,0000-00-00,XSHG,C35,专用设备制造业,2016-08-12,603159.XSHG,100.0,Industrials,工业,Normal,Active,上海亚虹,CS
1740,HQPJ,MainBoard,0000-00-00,XSHG,C15,酒、饮料和精制茶制造业,2003-02-26,600573.XSHG,100.0,ConsumerStaples,必需消费品,Normal,Active,惠泉啤酒,CS
1741,ZJLS,MainBoard,0000-00-00,XSHG,C26,化学原料及化学制品制造业,2003-08-01,600352.XSHG,100.0,Materials,原材料,Normal,Active,浙江龙盛,CS
1742,SLSY,SMEBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2015-03-19,002748.XSHE,100.0,Materials,原材料,Normal,Active,世龙实业,CS
1743,TLZ,GEM,0000-00-00,XSHE,C18,纺织服装、服饰业,2009-10-30,300005.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,探路者,CS
1744,PLT,SMEBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,2009-12-18,002324.XSHE,100.0,Materials,原材料,Normal,Active,普利特,CS
1745,ZWGX,MainBoard,0000-00-00,XSHE,C32,有色金属冶炼和压延加工业,1996-12-05,000657.XSHE,100.0,Materials,原材料,Normal,Active,中钨高新,CS
1746,YBX,GEM,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2016-08-09,300531.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,优博讯,CS
1747,DEHY,GEM,0000-00-00,XSHE,C38,电气机械和器材制造业,2014-10-30,300403.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,地尔汉宇,CS
1748,XYZC,MainBoard,0000-00-00,XSHE,C34,通用设备制造业,1997-01-06,000678.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,襄阳轴承,CS
1749,FJGS,MainBoard,0000-00-00,XSHG,G54,道路运输业,2001-02-09,600033.XSHG,100.0,Industrials,工业,Normal,Active,福建高速,CS
1750,CZDH,MainBoard,0000-00-00,XSHG,C26,化学原料及化学制品制造业,2000-04-06,600230.XSHG,100.0,Materials,原材料,Normal,Active,沧州大化,CS
1751,SKJA,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1992-03-27,000016.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,深康佳A,CS
1752,YTGF,MainBoard,0000-00-00,XSHG,K70,房地产业,2001-03-19,600393.XSHG,100.0,Financials,金融,Normal,Active,粤泰股份,CS
1753,XFLH,GEM,0000-00-00,XSHE,R86,广播、电视、电影和影视录音制作业,2016-08-08,300528.XSHE,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,幸福蓝海,CS
1754,RHGF,SMEBoard,0000-00-00,XSHE,E50,建筑装饰和其他建筑业,2011-09-29,002620.XSHE,100.0,Industrials,工业,Normal,Active,瑞和股份,CS
1755,MBH,MainBoard,0000-00-00,XSHG,C21,家具制造业,2016-10-13,603313.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,梦百合,CS
1756,XZCT,MainBoard,0000-00-00,XSHG,K70,房地产业,1996-11-08,600773.XSHG,100.0,Financials,金融,Normal,Active,西藏城投,CS
1757,ZGWX,MainBoard,0000-00-00,XSHG,C39,计算机、通信和其他电子设备制造业,1997-09-08,600118.XSHG,100.0,Industrials,工业,Normal,Active,中国卫星,CS
1758,AYS,MainBoard,0000-00-00,XSHG,F52,零售业,2018-03-30,603214.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,爱婴室,CS
1759,ZGLY,MainBoard,0000-00-00,XSHG,C32,有色金属冶炼和压延加工业,2007-04-30,601600.XSHG,100.0,Materials,原材料,Normal,Active,中国铝业,CS
1760,PZH,MainBoard,0000-00-00,XSHG,C27,医药制造业,2003-06-16,600436.XSHG,100.0,HealthCare,医疗保健,Normal,Active,片仔癀,CS
1761,WJYH,MainBoard,0000-00-00,XSHG,J66,货币金融服务,2016-11-29,603323.XSHG,100.0,Financials,金融,Normal,Active,吴江银行,CS
1762,SCJZ,MainBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,1998-05-06,000801.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,四川九洲,CS
1763,NCP,MainBoard,0000-00-00,XSHE,L72,商务服务业,1997-01-10,000061.XSHE,100.0,Industrials,工业,Normal,Active,农产品,CS
